radar_include,trend_id,trend_title,trend_id_2,Impact,Certainty,main_mega_trend,count_apps,apps_list,apps_code_list,new_description,word_count,old_description,Authenticity/Disconnection,Continuous Connection,Experiences,Health And Wellness,Hiper Personalization,Informed People,Corporate Responsibility,Seamlessness/Ease,Sustainability,micro_image,article_name_list,article_url_list,article_name1,article_url1,article_name2,article_url2,article_name3,article_url3,relevance_horizon,threat_categories
0,MT57,Car Sharing,MT57,Low,Low degree,Sustainability,0,,,,,"Reduction in commuting costs is expected to propel the car sharing market growth over the next six years. According to the American Association of Automobiles (AAA), the average annual costs to own and operate vehicles are about USD 8,698. Car sharing model has the potential to significantly reduce the transportation costs for the commuters. According to the Transportation Sustainability Research Center, the monthly transportation savings for round trip car sharing members in the U.S. ranges from USD 154 to USD 435. Furthermore, car sharing addresses some of the traditional problems of owning a car including arranging and paying for parking spaces and maintaining the insurance cover.

 
Stringent government regulations and norms associated with the emissions of greenhouse gases are propelling the growth of carsharing market. In January 2017, the government of Germany announced an initiative to encourage the adoption of these services by passing a draft bill to encourage the installation of the infrastructure required for these services. The government is helping the adopting of these services as these are considered crucial to make the transportation sector environmentally friendly.",,,,,,,,20,80,,,,,,,,,,> 2 Years,"vocabulary_ich_1269,vocabulary_ich_1286"
0,MT58,Groupbuy/Social Commerce,MT58,High,Low degree,Informed People,0,,,,,Massdrop like commerce,,,,,,70,,,30,,,,,,,,,,,"vocabulary_ich_1263,vocabulary_ich_1286"
0,MT59,Livestream Classes,MT59,Low,High degree,Continuous Connection,0,,,,,"Top online English-learning platforms are all leveraging videoconferencing technology to connect students in China
with teachers overseas for real-time one-on-one lessons. ",,40,30,,30,,,,,,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1267"
0,MT60,Indulgence Food,MT60,Low,High degree,Experiences,0,,,,,"Sugar has been trending as the top health villain for a while, but signs are emerging that not everyone is taking this view as some food and beverage makers are celebrating sugar with super-indulgent frozen novelties, beverages, and desserts. This is happening in categories like premium chocolate where Nestlé is launching a new line of Swiss chocolate bars in the UK with its Les Recettes De L’Atelier range. Celebrating sugar instead of apologizing for it may be an early sign of “better for you” fatigue. If so, we could see more “dirty label” (instead of “clean label”) product launches in 2018 that flout current health trends and celebrate indulgence.",,,100,,,,,,,,,,,,,,,,> 2 Years,vocabulary_ich_1287
0,MT61,Personalized Food,MT61,Low,High degree,Hiper Personalization,0,,,,,"Nothing tastes as good, looks as good, or works as well as a product you helped create. The “I made it” trend celebrates this sentiment and taps a growing consumer desire for control, self-sufficiency, personalization, and transparency. According to a Q3 2016 survey by GlobalData, a majority of consumers globally – 60% – say they find the concept of products they helped create to be appealing. FMCG manufacturers will be looking to find new ways to allow consumers to put a personal stamp on the products they use and enjoy. Very much on-trend is new Urban Decay Drop Shot, a mix in facial oil that allows the consumer to tweak their own makeup products.

",,,,20,80,,,,,,,,,,,,,,,"vocabulary_ich_1264,vocabulary_ich_1267"
0,MT62,Tackling Taboos,MT62,Low,Low degree,Corporate Responsibility,0,,,,,"Personal issues like sexual health, menopause, pregnancy, and gender-related hygiene issues that used to be whispered about are now going public, fueling new product innovation. Social media has played a part in making personal issues public. This is paving the way for products that address formerly taboo subjects, like the VMagic “feminine lips stick” which addresses vulvar discomfort. The world’s first anti-viral condom (Ansell Lifestyles Dual Protect) that provides extra protection against sexually transmitted infections like HPV is another example.",,,,,,,100,,,,,,,,,,,,,vocabulary_ich_1284
0,MT63,Regional Products,MT63,Low,High degree,Authenticity/Disconnection,0,,,,,"FMCG companies are increasingly appealing to consumers by launching products with regional provenance thorough flavors, ingredients, recipes, and more. Though consumers may express a preference for local ingredients and flavors, local is difficult for big brands to achieve. As an alternative, big brands are connecting with consumers by using regional flavors and ingredients that tap into regional and home country pride. Japan’s Kirin Brewery has harnessed this trend in their product portfolio by offering 47 varieties of its Ichiban Shibori beer, one for each of Japan’s 47 prefectures",50,,10,,10,,,,30,,,,,,,,,,,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1286"
0,MT64,Plant-Power Non-Food,MT64,Low,High degree,Sustainability,0,,,,,"Plant-based ingredients are changing food and beverage markets, but the plant revolution is spreading beyond food and drink. Plant-based ingredients and formulations are beginning to change personal care and household product markets. FMCG non-food makers are turning to plant-based ingredients to create products seen as more sustainable and less likely to cause harm from harsh chemicals. According to GlobalData’s Q1 2017 consumer survey, global consumers are especially bullish about their preference for ingredients like natural and essential oils for personal care products, and vinegar for household products. That means we’ll be seeing more launches like Unilever’s new Love Beauty and Planet hair and body personal care line with plant ingredients like coconut oil and ethically-sourced essential oils.

",,,,,,,40,,60,,,,,,,,,,,"vocabulary_ich_1284,vocabulary_ich_1286"
0,MT65,Home Cooking,MT65,High,Low degree,Authenticity/Disconnection,0,,,,,"More UK shoppers prepared a meal at home during the last 12 months – rising from 78.3% in 2016 to 83.8% in 2017 – as interest in healthy eating continued to grow according to new research by GlobalData, a leading data and analytics company.

The company’s latest report, ‘Cooking and Baking 2017’, reveals that this trend will boost UK cookware sales over the next five years with ovenware sales expected to reach £256.0m, a growth rate of +8.8% and pots and pans sales £805.5m, a growth rate of 9.9% over the forecast period 2017 to 2022.

Despite the success of online food and delivery service apps like Just Eat – which recently boosted its market position with the acquisition of rival foodservice provider Hungry House – the healthy eating trend has led to a decrease in the number of shoppers purchasing a takeaway within the last 12 months down to 56.7% in 2016 from 61.8% in 2015.

Inclui movimento marmita!

",60,,10,,10,,,,20,,,,,,,,,,,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1286"
0,MT66,Makers,MT66,Low,High degree,Sustainability,0,,,,,"Is the maker movement growing, shrinking, or staying about the same these days?

It’s definitely growing, and spreading out to a wider audience. There are hundreds of maker spaces around the globe; each one is part of its own community that may hold workshop classes, run mini-maker-faires, or large-scale group projects. We, as humans, have always been makers; now we just have a word for it!",30,,20,,10,,,,40,,,,,,,,,,,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1286"
0,MT67,Universalization Of Programming Skills,MT67,High,Low degree,Continuous Connection,0,,,,,"A Direção-Geral da Educação (DGE) promove no ano letivo 2017/18, com o apoio do Centro de Competência TIC da Universidade de Évora, do Centro de Competência TIC da Escola Superior de Educação do Instituto Politécnico de Setúbal, do Centro de Competência TIC do Instituto de Educação da Universidade de Lisboa, da Associação Nacional dos Professores de Informática e da Microsoft Portugal, a iniciativa “Programação e Robótica no Ensino Básico”.

Esta iniciativa decorre da implementação do projeto-piloto Iniciação à Programação no 1.º Ciclo do Ensino Básico que, entre 2015 e 2017, envolveu mais de setenta mil alunos.

As atividades de “Programação e Robótica no Ensino Básico”, dirigidas a alunos do 1.º ao 9.º ano de escolaridade, poderão ser dinamizadas, na Oferta Complementar, nas Atividades de Enriquecimento Curricular ou na Oferta de Escola, ficando esta opção ao critério dos órgãos internos do Agrupamento, nos termos do estabelecido nos respetivos diplomas legais.

Os estabelecimentos de ensino envolvidos nesta iniciativa têm acesso a um sistema de acompanhamento e apoio presencial e online, através da realização de diversos eventos regionais, e de uma comunidade de prática que disponibilizará um conjunto de recursos educativos digitais.

A Sessão de Lançamento do projeto ocorreu no dia 18 de outubro de 2017, no Auditório da Microsoft, em Lisboa. Nesta sessão, foram apresentadas as Linhas Orientadoras e as dinâmicas gerais que irão ser desenvolvidas no âmbito do projeto. Este documento pretende ser um instrumento de base para uma implementação diversificada, tendo em conta os projetos desenvolvidos nas escolas e de adequação aos recursos existentes.

Assista à gravação integral da sessão.",,80,,,,20,,,,,,,,,,,,,,"vocabulary_ich_1268,vocabulary_ich_1263"
0,MT68,Premium Subscription Programs (Product & Service),MT68,Low,High degree,Informed People,0,,,,,"People want premium benefits programs, like Amazon Prime, and are willing to pay for it. 62% of respondents said they’d “consider joining a fee-based rewards program if their favorite retailer offered one”. The figure is even higher among millennials, with 75 percent of 18-24-year-olds and 77% of 25-34-year-olds saying they’d consider joining a fee-based rewards program. Nearly half (47%) said rewards in fee-based programs are better than rewards in free programs.",,,,,30,50,,20,,,,,,,,,,,,"vocabulary_ich_1267,vocabulary_ich_1263,vocabulary_ich_1269"
0,MT69,Healing Food,MT69,Low,Low degree,Health And Wellness,0,,,,,"Key analysis:
While some consumers prefer the ease of supplements and vitamins in pill form, many global consumers, especially those in East Asia, have long believed that real food and drinks are best at preventing illnesses and curing what ails us. A new expression of that way of thinking is a growing number of restaurants that serve healing foods.
Quantitative analysis:
The majority of global consumers maintain their physical health by sticking to the basics: eating healthy, nutritious foods (64%), exercising (62%) and getting enough rest (57%).
Consumer implications:
The media regularly touts the health benefits of this food or that drink, and there are even certain combinations that should or should not be eaten together. But try keeping track of all those recommendations! A restaurant that does the remembering for you and serves up freshly prepared dishes takes the guesswork — not to mention all the shopping, prepping and cleaning up — out of the healing foods trend.",,,,80,20,,,,,,,,,,,,,,1 to 2 Years,"vocabulary_ich_1264,vocabulary_ich_1267"
0,MT70,Home Chef Catering,MT70,Low,High degree,Seamlessness/Ease,0,,,,,"For those who can afford the luxury of hiring their very own personal or private chef to come into their home and cook healthy meals and snacks based on their specific tastes and unique dietary requirements.. it makes life easier where trying to find a balanced diet is concerned.

‘Health, Fitness and Convenience’ go hand in hand and have been trending for many years. First it was food supplements, then it was healthy meals delivered to your door and now private chef services seems to be the new gold rush amongst busy executives, sports stars, celebrities where daily nutritional balancing is concerned – and I believe it is here to stay and continue to being more popular with those individuals and families who can afford the expense of a personal chef.",,,,,40,,,60,,,,,,,,,,,,"vocabulary_ich_1267,vocabulary_ich_1269"
